id	Y-M-D h:m:s	cenit	acimut	d	p1	p2	p3	r
1	2024-06-21 07:00:00	71.9124	-107.3110	640.7995	11.1788	0.0000	-10.8975	15.6115
1	2024-06-21 07:05:00	70.8699	-106.8122	640.7995	11.0928	0.0000	-11.0623	15.6660
1	2024-06-21 07:10:00	69.8245	-106.3167	640.7995	11.0049	0.0000	-11.2230	15.7183
1	2024-06-21 07:15:00	68.7763	-105.8243	640.7995	10.9152	0.0000	-11.3798	15.7684
1	2024-06-21 07:20:00	67.7253	-105.3347	640.7995	10.8240	0.0000	-11.5326	15.8164
1	2024-06-21 07:25:00	66.6717	-104.8476	640.7995	10.7313	0.0000	-11.6813	15.8624
1	2024-06-21 07:30:00	65.6157	-104.3628	640.7995	10.6374	0.0000	-11.8260	15.9062
1	2024-06-21 07:35:00	64.5572	-103.8800	640.7995	10.5424	0.0000	-11.9666	15.9481
1	2024-06-21 07:40:00	63.4965	-103.3988	640.7995	10.4464	0.0000	-12.1032	15.9880
1	2024-06-21 07:45:00	62.4335	-102.9191	640.7995	10.3496	0.0000	-12.2357	16.0258
1	2024-06-21 07:50:00	61.3685	-102.4406	640.7995	10.2522	0.0000	-12.3641	16.0617
1	2024-06-21 07:55:00	60.3013	-101.9628	640.7995	10.1544	0.0000	-12.4885	16.0957
1	2024-06-21 08:00:00	59.2323	-101.4856	640.7995	10.0561	0.0000	-12.6087	16.1278
1	2024-06-21 08:05:00	58.1614	-101.0086	640.7995	9.9577	0.0000	-12.7249	16.1579
1	2024-06-21 08:10:00	57.0886	-100.5314	640.7995	9.8591	0.0000	-12.8370	16.1862
1	2024-06-21 08:15:00	56.0142	-100.0538	640.7995	9.7607	0.0000	-12.9451	16.2125
1	2024-06-21 08:20:00	54.9382	-99.5753	640.7995	9.6624	0.0000	-13.0490	16.2370
1	2024-06-21 08:25:00	53.8605	-99.0956	640.7995	9.5644	0.0000	-13.1489	16.2595
1	2024-06-21 08:30:00	52.7814	-98.6143	640.7995	9.4669	0.0000	-13.2448	16.2803
1	2024-06-21 08:35:00	51.7009	-98.1310	640.7995	9.3700	0.0000	-13.3366	16.2991
1	2024-06-21 08:40:00	50.6191	-97.6451	640.7995	9.2737	0.0000	-13.4243	16.3160
1	2024-06-21 08:45:00	49.5360	-97.1563	640.7995	9.1782	0.0000	-13.5079	16.3311
1	2024-06-21 08:50:00	48.4517	-96.6640	640.7995	9.0837	0.0000	-13.5875	16.3442
1	2024-06-21 08:55:00	47.3663	-96.1678	640.7995	8.9901	0.0000	-13.6630	16.3554
1	2024-06-21 09:00:00	46.2798	-95.6669	640.7995	8.8977	0.0000	-13.7345	16.3647
1	2024-06-21 09:05:00	45.1924	-95.1608	640.7995	8.8066	0.0000	-13.8018	16.3721
1	2024-06-21 09:10:00	44.1040	-94.6488	640.7995	8.7167	0.0000	-13.8651	16.3775
1	2024-06-21 09:15:00	43.0149	-94.1302	640.7995	8.6284	0.0000	-13.9243	16.3809
1	2024-06-21 09:20:00	41.9250	-93.6042	640.7995	8.5415	0.0000	-13.9793	16.3823
1	2024-06-21 09:25:00	40.8345	-93.0698	640.7995	8.4563	0.0000	-14.0303	16.3816
1	2024-06-21 09:30:00	39.7434	-92.5262	640.7995	8.3728	0.0000	-14.0771	16.3789
1	2024-06-21 09:35:00	38.6519	-91.9722	640.7995	8.2911	0.0000	-14.1197	16.3740
1	2024-06-21 09:40:00	37.5599	-91.4067	640.7995	8.2112	0.0000	-14.1582	16.3670
1	2024-06-21 09:45:00	36.4677	-90.8284	640.7995	8.1334	0.0000	-14.1924	16.3578
1	2024-06-21 09:50:00	35.3753	-90.2359	640.7995	8.0576	0.0000	-14.2225	16.3464
1	2024-06-21 09:55:00	34.2829	-89.6275	640.7995	7.9840	0.0000	-14.2482	16.3327
1	2024-06-21 10:00:00	33.1905	-89.0014	640.7995	7.9125	0.0000	-14.2697	16.3166
1	2024-06-21 10:05:00	32.0983	-88.3555	640.7995	7.8433	0.0000	-14.2868	16.2982
