
# Curve 0 of 2, 100 points
# Curve title: "f(x)"
# x y type
 0  0  i
 0.0634665  0.0634239  i
 0.126933  0.126592  i
 0.1904  0.189251  i
 0.253866  0.251148  i
 0.317333  0.312033  i
 0.380799  0.371662  i
 0.444266  0.429795  i
 0.507732  0.486197  i
 0.571199  0.540641  i
 0.634665  0.592908  i
 0.698132  0.642788  i
 0.761598  0.690079  i
 0.825065  0.734592  i
 0.888531  0.776146  i
 0.951998  0.814576  i
 1.01546  0.849725  i
 1.07893  0.881453  i
 1.1424  0.909632  i
 1.20586  0.934148  i
 1.26933  0.954902  i
 1.3328  0.971812  i
 1.39626  0.984808  i
 1.45973  0.993838  i
 1.5232  0.998867  i
 1.58666  0.999874  i
 1.65013  0.996855  i
 1.7136  0.989821  i
 1.77706  0.978802  i
 1.84053  0.963842  i
 1.904  0.945001  i
 1.96746  0.922354  i
 2.03093  0.895994  i
 2.0944  0.866025  i
 2.15786  0.83257  i
 2.22133  0.795762  i
 2.28479  0.75575  i
 2.34826  0.712694  i
 2.41173  0.666769  i
 2.47519  0.618159  i
 2.53866  0.56706  i
 2.60213  0.513677  i
 2.66559  0.458227  i
 2.72906  0.400931  i
 2.79253  0.34202  i
 2.85599  0.281733  i
 2.91946  0.220311  i
 2.98293  0.158001  i
 3.04639  0.095056  i
 3.10986  0.0317279  i
 3.17333 -0.0317279  i
 3.23679 -0.095056  i
 3.30026 -0.158001  i
 3.36373 -0.220311  i
 3.42719 -0.281733  i
 3.49066 -0.34202  i
 3.55413 -0.400931  i
 3.61759 -0.458227  i
 3.68106 -0.513677  i
 3.74452 -0.56706  i
 3.80799 -0.618159  i
 3.87146 -0.666769  i
 3.93492 -0.712694  i
 3.99839 -0.75575  i
 4.06186 -0.795762  i
 4.12532 -0.83257  i
 4.18879 -0.866025  i
 4.25226 -0.895994  i
 4.31572 -0.922354  i
 4.37919 -0.945001  i
 4.44266 -0.963842  i
 4.50612 -0.978802  i
 4.56959 -0.989821  i
 4.63306 -0.996855  i
 4.69652 -0.999874  i
 4.75999 -0.998867  i
 4.82346 -0.993838  i
 4.88692 -0.984808  i
 4.95039 -0.971812  i
 5.01385 -0.954902  i
 5.07732 -0.934148  i
 5.14079 -0.909632  i
 5.20425 -0.881453  i
 5.26772 -0.849725  i
 5.33119 -0.814576  i
 5.39465 -0.776146  i
 5.45812 -0.734592  i
 5.52159 -0.690079  i
 5.58505 -0.642788  i
 5.64852 -0.592908  i
 5.71199 -0.540641  i
 5.77545 -0.486197  i
 5.83892 -0.429795  i
 5.90239 -0.371662  i
 5.96585 -0.312033  i
 6.02932 -0.251148  i
 6.09279 -0.189251  i
 6.15625 -0.126592  i
 6.21972 -0.0634239  i
 6.28319 -2.44929e-16  i


# Curve 1 of 2, 100 points
# Curve title: "g(x)"
# x y type
 0  1  i
 0.0634665  0.997987  i
 0.126933  0.991955  i
 0.1904  0.981929  i
 0.253866  0.967949  i
 0.317333  0.950071  i
 0.380799  0.928368  i
 0.444266  0.902927  i
 0.507732  0.873849  i
 0.571199  0.841254  i
 0.634665  0.80527  i
 0.698132  0.766044  i
 0.761598  0.723734  i
 0.825065  0.678509  i
 0.888531  0.630553  i
 0.951998  0.580057  i
 1.01546  0.527225  i
 1.07893  0.472271  i
 1.1424  0.415415  i
 1.20586  0.356886  i
 1.26933  0.29692  i
 1.3328  0.235759  i
 1.39626  0.173648  i
 1.45973  0.110838  i
 1.5232  0.0475819  i
 1.58666 -0.015866  i
 1.65013 -0.07925  i
 1.7136 -0.142315  i
 1.77706 -0.204807  i
 1.84053 -0.266474  i
 1.904 -0.327068  i
 1.96746 -0.386345  i
 2.03093 -0.444067  i
 2.0944 -0.5  i
 2.15786 -0.55392  i
 2.22133 -0.60561  i
 2.28479 -0.654861  i
 2.34826 -0.701475  i
 2.41173 -0.745264  i
 2.47519 -0.786053  i
 2.53866 -0.823677  i
 2.60213 -0.857983  i
 2.66559 -0.888835  i
 2.72906 -0.916108  i
 2.79253 -0.939693  i
 2.85599 -0.959493  i
 2.91946 -0.97543  i
 2.98293 -0.987439  i
 3.04639 -0.995472  i
 3.10986 -0.999497  i
 3.17333 -0.999497  i
 3.23679 -0.995472  i
 3.30026 -0.987439  i
 3.36373 -0.97543  i
 3.42719 -0.959493  i
 3.49066 -0.939693  i
 3.55413 -0.916108  i
 3.61759 -0.888835  i
 3.68106 -0.857983  i
 3.74452 -0.823677  i
 3.80799 -0.786053  i
 3.87146 -0.745264  i
 3.93492 -0.701475  i
 3.99839 -0.654861  i
 4.06186 -0.60561  i
 4.12532 -0.55392  i
 4.18879 -0.5  i
 4.25226 -0.444067  i
 4.31572 -0.386345  i
 4.37919 -0.327068  i
 4.44266 -0.266474  i
 4.50612 -0.204807  i
 4.56959 -0.142315  i
 4.63306 -0.07925  i
 4.69652 -0.015866  i
 4.75999  0.0475819  i
 4.82346  0.110838  i
 4.88692  0.173648  i
 4.95039  0.235759  i
 5.01385  0.29692  i
 5.07732  0.356886  i
 5.14079  0.415415  i
 5.20425  0.472271  i
 5.26772  0.527225  i
 5.33119  0.580057  i
 5.39465  0.630553  i
 5.45812  0.678509  i
 5.52159  0.723734  i
 5.58505  0.766044  i
 5.64852  0.80527  i
 5.71199  0.841254  i
 5.77545  0.873849  i
 5.83892  0.902927  i
 5.90239  0.928368  i
 5.96585  0.950071  i
 6.02932  0.967949  i
 6.09279  0.981929  i
 6.15625  0.991955  i
 6.21972  0.997987  i
 6.28319  1  i

