cenit	acimut
66.5503	-104.795100
66.3393	-104.698000
65.2827	-104.213800
64.2238	-103.731600
63.1626	-103.251000
62.0992	-102.771700
61.0337	-102.293500
59.9662	-101.816000
58.8967	-101.338900
57.8254	-100.861900
56.7523	-100.384700
55.6775	-99.9069
54.6011	-99.4281
53.5231	-98.9480
52.4437	-98.4662
51.3629	-97.9822
50.2807	-97.4955
49.1974	-97.0058
48.1128	-96.5124
47.0271	-96.0148
45.9405	-95.5125
44.8528	-95.0047
43.7643	-94.4908
42.6750	-93.9700
41.5850	-93.4416
40.4944	-92.9046
39.4032	-92.3579
38.3116	-91.8006
37.2196	-91.2314
36.1274	-90.6490
35.0350	-90.0518
33.9427	-89.4382
32.8504	-88.8063
31.7583	-88.1540
30.6667	-87.4788
29.5756	-86.7779
28.4853	-86.0482
27.3960	-85.2861
26.3079	-84.4872
25.2213	-83.6467
24.1365	-82.7588
23.0539	-81.8166
21.9739	-80.8120
20.8971	-79.7354
19.8241	-78.5749
18.7557	-77.3165
17.6927	-75.9426
16.6365	-74.4317
15.5884	-72.7569
14.5504	-70.8843
13.5248	-68.7708
12.5148	-66.3610
11.5247	-63.5834
10.5601	-60.3451
9.6288	-56.5255
8.7417	-51.9703
7.9135	-46.4878
7.1650	-39.8579
6.5236	-31.8691
6.0237	-22.4095
5.7028	-11.6157 
5.5917	0.0002       
5.7028	11.6161
6.0238	22.4096
6.5237	31.8689
7.1651	39.8573
7.9137	46.4869
8.7419	51.9692
9.6291	56.5242
10.5603	60.3436 
11.5249	63.5818 
12.5151	66.3593 
13.5250	68.7690 
14.5506	70.8825 
15.5887	72.7550 
16.6368	74.4298 
17.6930	75.9406 
18.7560	77.3145 
19.8244	78.5729 
20.8974	79.7333 
21.9742	80.8099 
23.0542	81.8145 
24.1368	82.7567 
25.2216	83.6446 
26.3083	84.4851 
27.3964	85.2839 
28.4857	86.0460 
29.5761	86.7757 
30.6671	87.4765 
31.7588	88.1517 
32.8508	88.8040 
33.9431	89.4359 
35.0355	90.0495 
36.1279	90.6467 
37.2201	91.2291 
38.3121	91.7983 
39.4038	92.3556 
40.4949	92.9022 
41.5856	93.4392 
42.6756	93.9677 
43.7649	94.4884 
44.8534	95.0023 
45.9411	95.5100 
47.0278	96.0124 
48.1135	96.5099 
49.1980	97.0033 
50.2814	97.4931 
51.3636	97.9797 
52.4444	98.4637 
53.5239	98.9455 
54.6019	99.4256 
55.6783	99.9044 
56.7531	100.3821
57.8262	100.8593
58.8976	101.3363
59.9671	101.8134
61.0346	102.2909
62.1002	102.7691
63.1636	103.2483
64.2249	103.7289
65.2838	104.2112
