,count,mean,std,min,25%,50%,75%,max
Ene,24.0000,0.1205,0.0217,0.1020,0.1069,0.1106,0.1280,0.1745
Feb,24.0000,0.1324,0.0219,0.1120,0.1176,0.1240,0.1352,0.1870
Mar,24.0000,0.2088,0.0455,0.1627,0.1722,0.1903,0.2371,0.2996
Abr,24.0000,0.2109,0.0325,0.1675,0.1888,0.2027,0.2343,0.2766
May,24.0000,0.2496,0.0205,0.2246,0.2339,0.2419,0.2691,0.2878
Jun,24.0000,0.2544,0.0259,0.2216,0.2305,0.2488,0.2815,0.2960
Jul,24.0000,0.2779,0.0152,0.2520,0.2653,0.2797,0.2911,0.2991
Ago,24.0000,0.2830,0.0121,0.2657,0.2715,0.2813,0.2926,0.3045
Sep,24.0000,0.2725,0.0188,0.2475,0.2571,0.2669,0.2902,0.3070
Oct,24.0000,0.2685,0.0241,0.2200,0.2537,0.2686,0.2888,0.3008
Nov,24.0000,0.2375,0.0423,0.1812,0.2011,0.2219,0.2803,0.3028
Dic,24.0000,0.1782,0.0465,0.1294,0.1427,0.1621,0.2000,0.2731
