,count,mean,std,min,25%,50%,75%,max
Ene,24.0000,0.1130,0.0144,0.0976,0.1030,0.1086,0.1151,0.1467
Feb,24.0000,0.1345,0.0242,0.1073,0.1202,0.1260,0.1378,0.1875
Mar,24.0000,0.1826,0.0389,0.1483,0.1548,0.1644,0.2001,0.2699
Abr,24.0000,0.2041,0.0313,0.1667,0.1810,0.1904,0.2228,0.2703
May,24.0000,0.2447,0.0196,0.2158,0.2324,0.2402,0.2593,0.2865
Jun,24.0000,0.2444,0.0244,0.2103,0.2245,0.2382,0.2674,0.2863
Jul,24.0000,0.2842,0.0176,0.2565,0.2722,0.2819,0.2964,0.3168
Ago,24.0000,0.2805,0.0143,0.2563,0.2702,0.2785,0.2910,0.3040
Sep,24.0000,0.2763,0.0161,0.2507,0.2626,0.2755,0.2924,0.3006
Oct,24.0000,0.2584,0.0291,0.2005,0.2415,0.2563,0.2865,0.2949
Nov,24.0000,0.2351,0.0436,0.1476,0.1991,0.2346,0.2715,0.2990
Dic,24.0000,0.1632,0.0486,0.0967,0.1280,0.1485,0.2007,0.2453
